task,dataset,fold,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,datetime
7593,covertype,0,WeightedEnsemble_L2,0.9724277993872844,0.9709166013271883,9.987254619598389,8.208904027938843,160.45629239082336,0.019386768341064453,0.0499110221862793,43.74603009223938,2,True,4,2021-03-24 18:48:08.100800
7593,covertype,0,KNeighborsDist_BAG_L1,0.971911466042477,0.9704365952075883,5.881372928619385,4.352924346923828,13.834122657775879,5.881372928619385,4.352924346923828,13.834122657775879,1,True,2,2021-03-24 18:48:08.100800
7593,covertype,0,KNeighborsUnif_BAG_L1,0.9702936215620804,0.9690329119733797,5.812781095504761,4.740959405899048,13.770722389221191,5.812781095504761,4.740959405899048,13.770722389221191,1,True,1,2021-03-24 18:48:08.100800
7593,covertype,0,LightGBM_DSTL_BASE,0.8808646862414374,0.8883365200764818,2.202252149581909,0.2454237937927246,240.59622931480408,2.202252149581909,0.2454237937927246,240.59622931480408,1,True,7,2021-03-24 18:48:08.100800
7593,covertype,0,WeightedEnsemble_L2_DSTL_BASE,0.8808646862414374,0.8883365200764818,2.207794189453125,0.247971773147583,240.60285806655884,0.00554203987121582,0.0025479793548583984,0.006628751754760742,2,True,8,2021-03-24 18:48:08.100800
7593,covertype,0,LightGBM_DSTL_KNOW,0.872844308285429,0.8804971319311663,2.128674030303955,0.2289419174194336,240.41431307792664,2.128674030303955,0.2289419174194336,240.41431307792664,1,True,5,2021-03-24 18:48:08.100800
7593,covertype,0,WeightedEnsemble_L2_DSTL_KNOW,0.872844308285429,0.8804971319311663,2.1344451904296875,0.23190069198608398,240.422101020813,0.005771160125732422,0.0029587745666503906,0.007787942886352539,2,True,6,2021-03-24 18:48:08.100800
7593,covertype,0,LightGBM_BAG_L1,0.8318302295962273,0.8285421965539003,4.0864949226379395,3.8060686588287354,102.8761396408081,4.0864949226379395,3.8060686588287354,102.8761396408081,1,True,3,2021-03-24 18:48:08.100800
7593,covertype,1,KNeighborsDist_BAG_L1,0.9730990327355341,0.9706909410797269,5.636436939239502,4.330811023712158,14.051045894622803,5.636436939239502,4.330811023712158,14.051045894622803,1,True,2,2021-03-24 19:22:51.746370
7593,covertype,1,WeightedEnsemble_L2,0.9726859660596882,0.9710351685758544,10.064701795578003,8.283183813095093,163.90053534507751,0.02097773551940918,0.05376601219177246,44.98318886756897,2,True,4,2021-03-24 19:22:51.746370
7593,covertype,1,KNeighborsUnif_BAG_L1,0.9715156104781246,0.9692145875963359,5.689450025558472,4.430230617523193,13.880706548690796,5.689450025558472,4.430230617523193,13.880706548690796,1,True,1,2021-03-24 19:22:51.746370
7593,covertype,1,LightGBM_DSTL_BASE,0.8824997418333276,0.8822179732313575,2.1888949871063232,0.2518761157989502,240.6507430076599,2.1888949871063232,0.2518761157989502,240.6507430076599,1,True,7,2021-03-24 19:22:51.746370
7593,covertype,1,WeightedEnsemble_L2_DSTL_BASE,0.8824997418333276,0.8822179732313575,2.193967819213867,0.25435781478881836,240.6571750640869,0.005072832107543945,0.002481698989868164,0.006432056427001953,2,True,8,2021-03-24 19:22:51.746370
7593,covertype,1,LightGBM_DSTL_KNOW,0.8726721971704933,0.8726577437858508,2.1902050971984863,0.22450709342956543,240.54036784172058,2.1902050971984863,0.22450709342956543,240.54036784172058,1,True,5,2021-03-24 19:22:51.746370
7593,covertype,1,WeightedEnsemble_L2_DSTL_KNOW,0.8726721971704933,0.8726577437858508,2.194585084915161,0.22703909873962402,240.54802060127258,0.004379987716674805,0.0025320053100585938,0.007652759552001953,2,True,6,2021-03-24 19:22:51.746370
7593,covertype,1,LightGBM_BAG_L1,0.8335857629685726,0.8313820733969517,4.407287120819092,3.898606777191162,104.86630058288574,4.407287120819092,3.898606777191162,104.86630058288574,1,True,3,2021-03-24 19:22:51.746370
7593,covertype,2,WeightedEnsemble_L2,0.9722207879382455,0.9711270177907904,12.206721067428589,10.742095470428467,214.04288244247437,0.019335269927978516,0.057533979415893555,45.355924129486084,2,True,4,2021-03-24 19:57:54.889213
7593,covertype,2,KNeighborsDist_BAG_L1,0.9721175194919193,0.9706737857876389,5.8952107429504395,4.660890579223633,13.990862131118774,5.8952107429504395,4.660890579223633,13.990862131118774,1,True,2,2021-03-24 19:57:54.889213
7593,covertype,2,KNeighborsUnif_BAG_L1,0.9708610867282835,0.9691381516166231,6.031966209411621,4.715497732162476,13.986200332641602,6.031966209411621,4.715497732162476,13.986200332641602,1,True,1,2021-03-24 19:57:54.889213
7593,covertype,2,LightGBM_DSTL_BASE,0.8848728937539801,0.8845124282982791,2.0618300437927246,0.2181081771850586,240.4123237133026,2.0618300437927246,0.2181081771850586,240.4123237133026,1,True,7,2021-03-24 19:57:54.889213
7593,covertype,2,WeightedEnsemble_L2_DSTL_BASE,0.8848728937539801,0.8845124282982791,2.066160202026367,0.22046113014221191,240.41848182678223,0.004330158233642578,0.0023529529571533203,0.006158113479614258,2,True,8,2021-03-24 19:57:54.889213
7593,covertype,2,LightGBM_DSTL_KNOW,0.8763876697475087,0.8768642447418739,2.1937780380249023,0.23603463172912598,240.59797716140747,2.1937780380249023,0.23603463172912598,240.59797716140747,1,True,5,2021-03-24 19:57:54.889213
7593,covertype,2,WeightedEnsemble_L2_DSTL_KNOW,0.8763876697475087,0.8768642447418739,2.198599100112915,0.23877954483032227,240.6050341129303,0.004821062088012695,0.002744913101196289,0.0070569515228271484,2,True,6,2021-03-24 19:57:54.889213
7593,covertype,2,LightGBM_BAG_L1,0.8534448632553656,0.8520054081860967,6.292175054550171,6.02367091178894,154.6960961818695,6.292175054550171,6.02367091178894,154.6960961818695,1,True,3,2021-03-24 19:57:54.889213
